;start;stop;kpi forecast;kpi standard
0;2018-03-14 00:00:00;2018-03-14 02:02:00;0.0;-2.357160734
0;2018-03-14 04:00:00;2018-03-14 06:07:00;-0.11446187799999999;-0.421964268
0;2018-03-14 07:20:00;2018-03-14 09:46:00;6.173493169999999;4.4310600749999995
0;2018-03-14 11:00:00;2018-03-14 13:08:00;0.0;8.170332649000004
0;2018-03-14 14:40:00;2018-03-14 16:53:00;0.480168531;0.11356863400000014
0;2018-03-14 18:00:00;2018-03-14 20:23:00;-3.8722714039999997;-3.876507345
0;2018-03-14 21:40:00;2018-03-14 23:48:00;-2.162024405;-1.7985446800000007
0;2018-03-15 00:40:00;2018-03-15 02:36:00;-1.9126489900000005;-1.8966392860000005
0;2018-03-15 04:00:00;2018-03-15 05:13:00;-0.14881956400000002;-1.3165748039999998
0;2018-03-15 06:40:00;2018-03-15 08:05:00;-1.1763005489999996;-1.7558791489999996
0;2018-03-15 09:20:00;2018-03-15 11:12:00;3.2378189900000005;6.382412966999999
0;2018-03-15 13:00:00;2018-03-15 15:22:00;0.0;-3.088200027
0;2018-03-15 17:00:00;2018-03-15 19:15:00;0.27769637;-0.8987435820000002
0;2018-03-15 20:40:00;2018-03-15 22:24:00;0.0;-2.5640171279999997
0;2018-03-16 00:20:00;2018-03-16 02:52:00;-0.459099974;-1.8291203349999994
0;2018-03-16 04:00:00;2018-03-16 05:55:00;-4.160127598999999;-4.716646724999999
0;2018-03-16 07:20:00;2018-03-16 09:41:00;-1.022925826;5.699764620000001
0;2018-03-16 11:40:00;2018-03-16 13:56:00;12.406369216000003;11.487848551000003
0;2018-03-16 15:00:00;2018-03-16 17:04:00;0.0;-3.671925972000001
0;2018-03-16 19:20:00;2018-03-16 20:43:00;0.0;-2.895283201999999
0;2018-03-16 22:40:00;2018-03-17 01:03:00;-3.5353162570000007;-3.8050523480000007
0;2018-03-17 02:00:00;2018-03-17 03:25:00;-1.274796491;-1.6402338979999997
0;2018-03-17 04:40:00;2018-03-17 07:02:00;-2.419497561999999;-4.422056440999998
0;2018-03-17 09:00:00;2018-03-17 10:00:00;0.7196508930000001;4.044983896
0;2018-03-17 11:00:00;2018-03-17 13:25:00;3.6543608940000003;3.617243451
0;2018-03-17 14:40:00;2018-03-17 16:33:00;0.0;7.662561101999998
0;2018-03-17 18:40:00;2018-03-17 20:01:00;0.0;-4.452126299000001
0;2018-03-17 22:00:00;2018-03-17 23:35:00;0.0;-1.197875131
0;2018-03-18 01:20:00;2018-03-18 03:27:00;3.676418849;4.678299947999999
0;2018-03-18 04:40:00;2018-03-18 07:39:00;2.6762715549999996;2.7917198439999993
0;2018-03-18 09:00:00;2018-03-18 10:21:00;0.0;-1.9250203780000001
0;2018-03-18 12:20:00;2018-03-18 14:09:00;0.0;3.6633789990000025
